metric;Multiclass_capable;Imbalanced Suitable;FP and FN equally important;FP over FN;FN over FP;Only Positives;Ignore TN;Chance Correction;Minor Class Sensitivity;suitable
Brier Score;1;0;0;0;0;0;0;1;0;0
Brier Score;1;0;0;0;0;0;0;0;1;0
Brier Score;0;1;0;0;0;0;0;0;0;0
Brier Score;0;0;1;0;0;0;0;0;0;0
Brier Score;0;0;0;1;0;0;0;0;0;0
Brier Score;0;0;0;0;1;0;0;0;0;0
Brier Score;0;0;0;0;0;1;0;0;0;0
Brier Score;0;0;0;0;0;0;1;0;0;0
Brier Score;0;0;0;0;0;0;0;1;0;0
Brier Score;0;0;0;0;0;0;0;0;1;0
CE;1;1;0;0;0;0;0;0;0;0
CE;1;0;1;0;0;0;0;0;0;0
CE;1;0;0;1;0;0;0;0;0;0
CE;1;0;0;0;1;0;0;0;0;0
CE;1;0;0;0;0;1;0;0;0;0
CE;1;0;0;0;0;0;1;0;0;0
CE;1;0;0;0;0;0;0;1;0;0
CE;1;0;0;0;0;0;0;0;1;0
CE;0;1;0;0;0;0;0;0;0;0
CE;0;0;1;0;0;0;0;0;0;0
CE;0;0;0;1;0;0;0;0;0;0
CE;0;0;0;0;1;0;0;0;0;0
CE;0;0;0;0;0;1;0;0;0;0
CE;0;0;0;0;0;0;1;0;0;0
CE;0;0;0;0;0;0;0;1;0;0
CE;0;0;0;0;0;0;0;0;1;0
Cohen's Kappa;1;1;0;0;0;0;0;1;0;0
Cohen's Kappa;1;0;1;0;0;0;0;1;0;0
Cohen's Kappa;1;0;0;1;0;0;0;1;0;0
Cohen's Kappa;1;0;0;0;1;0;0;1;0;0
Cohen's Kappa;1;0;0;0;0;1;0;1;0;0
Cohen's Kappa;1;0;0;0;0;0;1;1;0;0
Cohen's Kappa;1;0;0;0;0;0;0;0;0;0
Cohen's Kappa;1;0;0;0;0;0;0;1;1;0
Cohen's Kappa;0;1;0;0;0;0;0;1;0;0
Cohen's Kappa;0;0;1;0;0;0;0;1;0;0
Cohen's Kappa;0;0;0;1;0;0;0;1;0;0
Cohen's Kappa;0;0;0;0;1;0;0;1;0;0
Cohen's Kappa;0;0;0;0;0;1;0;1;0;0
Cohen's Kappa;0;0;0;0;0;0;1;1;0;0
Cohen's Kappa;0;0;0;0;0;0;0;0;0;0
Cohen's Kappa;0;0;0;0;0;0;0;1;1;0
F1;1;1;0;0;0;0;1;0;0;0
F1;0;0;0;0;0;0;1;0;0;0
F1;0;1;1;0;0;0;1;0;0;0
F1;0;1;0;1;0;0;1;0;0;0
F1;0;1;0;0;1;0;1;0;0;0
F1;0;1;0;0;0;1;1;0;0;0
F1;0;1;0;0;0;0;0;0;0;0
F1;0;1;0;0;0;0;1;1;0;0
F1;0;1;0;0;0;0;1;0;1;0
MCC;1;0;0;0;0;0;0;0;0;0
MCC;1;1;1;0;0;0;0;0;0;0
MCC;1;1;0;1;0;0;0;0;0;0
MCC;1;1;0;0;1;0;0;0;0;0
MCC;1;1;0;0;0;1;0;0;0;0
MCC;1;1;0;0;0;0;1;0;0;0
MCC;1;1;0;0;0;0;0;1;0;0
MCC;1;1;0;0;0;0;0;0;1;0
MCC;0;0;0;0;0;0;0;0;0;0
MCC;0;1;1;0;0;0;0;0;0;0
MCC;0;1;0;1;0;0;0;0;0;0
MCC;0;1;0;0;1;0;0;0;0;0
MCC;0;1;0;0;0;1;0;0;0;0
MCC;0;1;0;0;0;0;1;0;0;0
MCC;0;1;0;0;0;0;0;1;0;0
MCC;0;1;0;0;0;0;0;0;1;0
Macro-avg Accuracy;0;1;0;0;0;0;0;0;1;0
Macro-avg Accuracy;1;0;0;0;0;0;0;0;1;0
Macro-avg Accuracy;1;1;1;0;0;0;0;0;1;0
Macro-avg Accuracy;1;1;0;1;0;0;0;0;1;0
Macro-avg Accuracy;1;1;0;0;1;0;0;0;1;0
Macro-avg Accuracy;1;1;0;0;0;1;0;0;1;0
Macro-avg Accuracy;1;1;0;0;0;0;1;0;1;0
Macro-avg Accuracy;1;1;0;0;0;0;0;1;1;0
Macro-avg Accuracy;1;1;0;0;0;0;0;0;0;0
Macro-avg F1;0;1;0;0;0;0;1;0;1;0
Macro-avg F1;1;0;0;0;0;0;1;0;1;0
Macro-avg F1;1;1;1;0;0;0;1;0;1;0
Macro-avg F1;1;1;0;1;0;0;1;0;1;0
Macro-avg F1;1;1;0;0;1;0;1;0;1;0
Macro-avg F1;1;1;0;0;0;1;1;0;1;0
Macro-avg F1;1;1;0;0;0;0;0;0;1;0
Macro-avg F1;1;1;0;0;0;0;1;1;1;0
Macro-avg F1;1;1;0;0;0;0;1;0;0;0
Macro-avg Precision;0;1;0;1;0;1;0;0;1;0
Macro-avg Precision;1;0;0;1;0;1;0;0;1;0
Macro-avg Precision;1;1;1;1;0;1;0;0;1;0
Macro-avg Precision;1;1;0;0;0;1;0;0;1;0
Macro-avg Precision;1;1;0;1;1;1;0;0;1;0
Macro-avg Precision;1;1;0;1;0;0;0;0;1;0
Macro-avg Precision;1;1;0;1;0;1;1;0;1;0
Macro-avg Precision;1;1;0;1;0;1;0;1;1;0
Macro-avg Precision;1;1;0;1;0;1;0;0;0;0
Macro-avg Recall;0;1;0;0;1;1;0;0;1;0
Macro-avg Recall;1;0;0;0;1;1;0;0;1;0
Macro-avg Recall;1;1;1;0;1;1;0;0;1;0
Macro-avg Recall;1;1;0;1;1;1;0;0;1;0
Macro-avg Recall;1;1;0;0;0;1;0;0;1;0
Macro-avg Recall;1;1;0;0;1;0;0;0;1;0
Macro-avg Recall;1;1;0;0;1;1;1;0;1;0
Macro-avg Recall;1;1;0;0;1;1;0;1;1;0
Macro-avg Recall;1;1;0;0;1;1;0;0;0;0
Micro-avg Accuracy;0;0;0;0;0;0;0;0;0;0
Micro-avg Accuracy;1;1;0;0;0;0;0;0;0;0
Micro-avg Accuracy;1;0;1;0;0;0;0;0;0;0
Micro-avg Accuracy;1;0;0;1;0;0;0;0;0;0
Micro-avg Accuracy;1;0;0;0;1;0;0;0;0;0
Micro-avg Accuracy;1;0;0;0;0;1;0;0;0;0
Micro-avg Accuracy;1;0;0;0;0;0;1;0;0;0
Micro-avg Accuracy;1;0;0;0;0;0;0;1;0;0
Micro-avg Accuracy;1;0;0;0;0;0;0;0;1;0
Micro-avg F1;0;0;0;0;0;0;1;0;0;0
Micro-avg F1;1;1;0;0;0;0;1;0;0;0
Micro-avg F1;1;0;1;0;0;0;1;0;0;0
Micro-avg F1;1;0;0;1;0;0;1;0;0;0
Micro-avg F1;1;0;0;0;1;0;1;0;0;0
Micro-avg F1;1;0;0;0;0;1;1;0;0;0
Micro-avg F1;1;0;0;0;0;0;0;0;0;0
Micro-avg F1;1;0;0;0;0;0;1;1;0;0
Micro-avg F1;1;0;0;0;0;0;1;0;1;0
Micro-avg Precision;0;0;0;1;0;1;0;0;0;0
Micro-avg Precision;1;1;0;1;0;1;0;0;0;0
Micro-avg Precision;1;0;1;1;0;1;0;0;0;0
Micro-avg Precision;1;0;0;0;0;1;0;0;0;0
Micro-avg Precision;1;0;0;1;1;1;0;0;0;0
Micro-avg Precision;1;0;0;1;0;0;0;0;0;0
Micro-avg Precision;1;0;0;1;0;1;1;0;0;0
Micro-avg Precision;1;0;0;1;0;1;0;1;0;0
Micro-avg Precision;1;0;0;1;0;1;0;0;1;0
Micro-avg Recall;0;0;0;0;1;1;0;0;0;0
Micro-avg Recall;1;1;0;0;1;1;0;0;0;0
Micro-avg Recall;1;0;1;0;1;1;0;0;0;0
Micro-avg Recall;1;0;0;1;1;1;0;0;0;0
Micro-avg Recall;1;0;0;0;0;1;0;0;0;0
Micro-avg Recall;1;0;0;0;1;0;0;0;0;0
Micro-avg Recall;1;0;0;0;1;1;1;0;0;0
Micro-avg Recall;1;0;0;0;1;1;0;1;0;0
Micro-avg Recall;1;0;0;0;1;1;0;0;1;0
Precision;1;1;0;1;0;1;0;0;0;0
Precision;0;0;0;1;0;1;0;0;0;0
Precision;0;1;1;1;0;1;0;0;0;0
Precision;0;1;0;0;0;1;0;0;0;0
Precision;0;1;0;1;1;1;0;0;0;0
Precision;0;1;0;1;0;0;0;0;0;0
Precision;0;1;0;1;0;1;1;0;0;0
Precision;0;1;0;1;0;1;0;1;0;0
Precision;0;1;0;1;0;1;0;0;1;0
Recall;1;1;0;0;1;1;0;0;0;0
Recall;0;0;0;0;1;1;0;0;0;0
Recall;0;1;1;0;1;1;0;0;0;0
Recall;0;1;0;1;1;1;0;0;0;0
Recall;0;1;0;0;0;1;0;0;0;0
Recall;0;1;0;0;1;0;0;0;0;0
Recall;0;1;0;0;1;1;1;0;0;0
Recall;0;1;0;0;1;1;0;1;0;0
Recall;0;1;0;0;1;1;0;0;1;0
